Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Explicit Track
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,BXWEH2200054,0.005003001801080648,268.1,0.001724102248378334,0.005933356030156286,0.002519914612836115,0.35789473684210527,0.0002593339686534284,0.0011228326793626705,0.8769670134491145,0.0697280456152147,0.09826537569818178,0.09272641226928412,0.0,0.013072075568630319,0.0,1.0373906935141443e-07,0.0,0.0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,USSM12103949,0.005203121873123874,266.3,0.7257089233701693,0.7651386962199627,0.513805612493118,0.8105263157894737,0.07700738138636898,0.2352933473194863,0.1744980227155716,0.09572164554929184,0.10166849036992645,0.5935847098830145,0.5967365967365967,0.8494439788278838,0.26148969889064977,0.11999896509904416,0.6076555023923444,1.0
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,2015-12-01,KRE671700001,0.0054032419451671,265.7,0.16835857609909968,0.1032265058241064,0.028705763616790333,0.7368421052631579,0.9999999999999999,0.7824866796721498,0.18050813940578414,0.012003041848817541,0.028202092297058577,0.00029721496143014217,0.037296037296037296,0.00015918461477885712,0.028526148969889066,0.0010825794321236203,0.07655502392344497,0.0
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,USUM72317276,0.005603362017210326,262.8,0.13805249541896047,0.04438075783675564,0.7528109501266571,0.9052631578947368,0.00961118970600344,0.04943702374698437,0.06371404188921621,0.013651534763723291,0.012194421161993332,0.0793678619665014,0.22494172494172496,0.1126267711397731,0.1838351822503962,0.4577422531864441,0.5980861244019138,0.0
Numb / Encore,Papercuts,JAY-Z,2024-04-12,USWB12400678,0.005803482089253552,256.0,0.2343155857394638,0.00021511168022547768,0.0018504485950253304,0.8035087719298245,0.02325403371372727,0.01921173962958007,0.03504879646578391,0.0027157550537848817,0.0034237259554196118,0.01802469533376406,0.049339549339549336,0.003767181719831328,0.032752245113576335,0.16801973189024821,0.12918660287081338,1.0
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,2024-05-14,TCJPA2406007,0.006003602161296777,249.8,0.38423231374508515,0.1480736212668102,0.3048907946725031,0.8210526315789473,0.038450573589736026,0.13229588076638732,0.01922211389018137,0.009542786616600135,0.009312081398813716,0.2796556509615858,0.27816627816627815,0.28653005664272335,0.3169572107765452,0.0992694438846569,0.49601275917065385,1.0
SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,KRA402400016,0.006203722233340004,237.5,0.029170447201480185,0.005891011211214263,0.09886408316262929,0.8526315789473684,0.022048677925065267,0.07875264194272504,0.004953356758819505,0.002058726258639411,0.001672501149540166,0.005322411549402056,0.04079254079254079,0.001230165203255691,0.003169572107765452,0.007220156235602963,0.11961722488038277,0.0
Water,Water,Tyla,2023-07-28,USSM12305126,0.00640384230538323,234.6,0.15657600686450965,0.16675220320092954,0.5735650736540505,0.863157894736842,0.016246032398945346,0.0411936039573268,0.04928582865468132,0.015725800165892003,0.016862828038919978,0.4158074402433213,0.26107226107226106,0.2739049729723649,0.2836767036450079,0.40394929242589234,0.894736842105263,0.0
Strangers,Strangers,Kenya Grace,2023-09-01,USWB12305048,0.006603962377426455,233.5,0.1752095193747895,0.23567432430372412,0.39596710590938294,0.8210526315789474,0.007241864400386028,0.024004257728881092,0.024043030863473914,0.008391580970964952,0.009568782975149015,0.23940177675049348,0.18881118881118883,0.21268470758967495,0.1774960380348653,0.33809154014321263,0.5311004784688995,0.0
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,USSM12401865,0.0068040824494696815,231.6,0.12425919395286315,0.039898982199931904,0.2572538346903339,0.8210526315789473,0.003805863811386952,0.014824119611073161,0.027084118735449542,0.00451822701791684,0.004856020624477685,0.05277526563255031,0.2564102564102564,0.08549226295273397,0.06497622820919176,0.013662767398603205,0.2200956937799043,0.0
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,2024-04-26,GBAYE2300351,0.007004202521512908,230.0,0.11197488181698043,1.0162756546085561e-05,5.786308802805733e-06,0.09122807017543859,0.0021297556059642034,0.002491014690564068,0.4067858836080625,0.01694327890087829,0.02362147757125611,0.01236957535272931,0.04545454545454546,7.499864064963822e-07,0.0,0.00071387694777278,0.0,0.0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1541249,0.007204322593556133,226.4,0.072855262861289,0.04364057040164907,0.6870287305441132,1.0,0.003840892823187434,0.013442071703566906,0.007573403439939476,0.0011847745936739667,0.0016220476513642693,0.03345752665966768,0.1724941724941725,0.013967746834588622,0.09033280507131537,0.5501491155756764,0.69377990430622,1.0
Lose Control,Lose Control,Teddy Swims,2023-06-23,USWB12302315,0.007404442665599359,224.1,0.18104401330255152,0.1494568853522496,0.6884771793374511,0.9052631578947368,0.008526749407549576,0.024142708061545448,0.00924379974927272,0.002089988335942352,0.0025618816376712255,0.5510236798128914,0.24941724941724944,0.3407788233838262,0.2091917591125198,0.8854166915208187,0.569377990430622,0.0
fukumean,fukumean,Gunna,2023-06-15,USAT22306575,0.0076045627376425855,221.1,0.17750867653467114,0.31867186322284724,0.3064403641039769,0.831578947368421,0.005801632768203146,0.01961104748597659,0.02883981419207026,0.01325932606990908,0.014070907618595424,0.019290716899344987,0.1421911421911422,0.14922292033456894,0.06180665610142631,0.046172350969438496,0.416267942583732,1.0
Dance Monkey,Dance Monkey,Tones And I,2019-05-10,QZES71982312,0.007804682809685811,214.5,0.7173271613338774,0.6355110426818836,0.2473900573977819,0.7368421052631579,0.20624253905620035,0.43716479717258966,0.2410807748503677,0.01677647533106955,0.02513348123468508,0.33309521974095035,0.6386946386946387,0.32271840072898683,0.9239302694136292,0.11929513700912256,0.5741626794258373,0.0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401994,0.008004802881729037,212.8,0.05003811579658627,0.018411527275991674,0.772372493301366,0.9578947368421052,0.000675916018224982,0.0040337561393903884,0.0058554546819453305,0.003027938112661338,0.0018998426000952752,0.020310641972874532,0.2867132867132867,0.0019119028467609025,0.10459587955625992,0.23908398899710234,0.5933014354066986,0.0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,2023-04-08,KRA252300672,0.008204922953772264,211.2,0.03993246172020766,0.04713147727522946,0.02204951492340309,0.4210526315789474,0.0013649119357440906,0.005368188173821977,0.3344580031342192,0.04039432987718939,0.052295436702082095,0.005843965567060207,0.0011655011655011655,0.00037743065906930434,0.004754358161648178,0.0007414438764684291,0.03827751196172249,1.0
I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,UKWLG2200055,0.00840504302581549,209.6,0.38730372081342335,0.44419206932355,0.914669570910858,0.863157894736842,0.028553988445476228,0.06940914623407551,0.016971841887455524,0.0023114189160391933,0.004509822864970192,0.19559824750493943,0.331002331002331,0.526034278128709,0.3264659270998415,0.1344379912057901,0.7990430622009569,1.0
Daylight,Daylight,David Kushner,2023-04-14,QZXDB2300005,0.008605163097858715,207.0,0.2631852183358632,0.3011546585229111,0.32497742948857644,0.8526315789473684,0.0167906200405766,0.059399702339006585,0.05960638833581324,0.012155013178129007,0.011055580579876526,0.16537537757907908,0.18881118881118883,0.1458277318723598,0.12044374009508717,0.07082693669586791,0.37799043062200954,0.0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,USJ5G2335007,0.008805283169901942,206.2,0.23302785745281243,0.17941669165010984,0.35386442502369975,0.894736842105263,0.0029463283684927686,0.015392910232411999,0.08505263601521296,0.03651753754279509,0.02345218906049097,0.04091514500011147,0.1048951048951049,0.02040938007998605,0.09825673534072901,0.22562724739023104,0.5215311004784688,0.0
Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,USUM72404101,0.009005403241945167,205.7,0.013853513529140764,0.004354741179997662,0.6977232357650237,0.863157894736842,0.0013707179406907155,0.016466907353376893,0.007901297775477028,8.0171766854964e-06,5.145003248351892e-06,0.01515097180549238,0.23076923076923078,0.001326350959888852,0.11410459587955626,0.2839560952191041,0.46411483253588515,1.0
Houdini,Houdini - Single,Dua Lipa,2023-11-09,GBAHT2301246,0.009205523313988393,205.1,0.11529364238342281,0.0767271181301883,0.3349579240245685,0.831578947368421,0.009224581578159976,0.025282038589752323,0.002179463920267224,0.0015323448928705218,0.001657617770052528,0.42934982559699025,0.20163170163170163,0.3176036809332831,0.22979397781299524,0.5860465474299485,0.6028708133971291,0.0
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,2024-05-02,TCJPA2415647,0.00940564338603162,204.4,0.3866838387501734,1.3550342061447413e-05,3.2019100094577183e-07,0.5578947368421052,0.07983255022906177,0.13647074058896955,0.04227719601267745,0.0006021615497222597,0.0010667717412719603,0.08738514134290415,0.16472416472416473,0.012838079809803449,0.06814580031695722,0.01511283902593523,0.07177033492822966,1.0
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2023-02-10,GBUM72300969,0.009605763458074845,203.6,0.0712205360400704,0.07439476550286167,0.1758499726463496,0.7157894736842105,0.0037975149147307192,0.014780965218522511,0.32337452968238994,0.016622813722229044,0.024374049550869997,0.0026363320042283003,0.08974358974358974,0.05210736805395402,0.06339144215530904,0.07194447619436295,0.16746411483253587,1.0
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,USUM71607007,0.00980588353011807,203.5,0.4080592164250171,0.3016865094488229,0.18854923184215797,0.7684210526315789,0.5842846034808024,0.9917847774091938,0.018632564536889617,0.00333576124037495,0.0049019668197839315,0.07813056080516562,0.20745920745920748,0.06819232651408193,0.22820919175911253,0.04101869774312958,0.5598086124401913,0.0
euphoria,euphoria,Kendrick Lamar,2024-04-30,USUG12402839,0.010006003602161298,202.1,0.039340072799414955,0.02907734027110847,0.23829986537531248,0.894736842105263,0.0032839940862725557,0.029633699289215536,0.01273735072425837,0.004170011542968802,0.002914294843876583,0.023920772780036372,0.07459207459207459,0.0036038721798167406,0.030110935023771792,0.008887886262310171,0.14354066985645933,1.0
